tax	ENRbarcode1	ENRbarcode2	ENRbarcode3	ENRbarcode4	NORMbarcode1	NORMbarcode2	NORMbarcode3	NORMbarcode4	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas faecalis	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter propionicigenes	0	0	0	2	1	0	0	1	4
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia	0	0	0	0	3	0	0	1	4
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia edwinii	0	0	0	0	1	0	0	3	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium butyricum	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Brachyspirales;Brachyspiraceae;Brachyspira;Brachyspira pilosicoli	0	1	0	0	0	0	0	3	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus acetotolerans	0	2	0	0	0	2	0	0	4
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia hongkongensis	0	0	0	0	0	0	1	3	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis	0	0	2	0	0	2	0	0	4
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium sp. CCBAU 53340	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium granulosum	1	0	0	0	0	2	1	0	4
Eukaryota;Eukaryota_Incertae_sedis;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium vinckei	0	0	0	0	2	1	0	1	4
Bacteria;Bacteria_none;Actinomycetota;Rubrobacteria;Rubrobacterales;Baekduiaceae;Baekduia;Baekduia sp. 0141_2	0	1	0	0	0	3	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Flammeovirgaceae;Flammeovirga;Flammeovirga kamogawensis	0	0	0	2	0	1	0	1	4
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Pontibacter;Pontibacter sp. SGAir0037	0	0	0	0	0	0	1	3	4
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Pseudanabaenales;Pseudanabaenaceae;Pseudanabaena;Pseudanabaena sp. Chao 1811	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus sp. PV037	0	0	0	0	0	4	0	0	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus salivarius	0	0	0	0	0	1	0	3	4
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris	2	0	0	0	2	0	0	0	4
Bacteria;Bacteria_none;Pseudomonadota;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Pseudodesulfovibrio;Pseudodesulfovibrio piezophilus	0	0	0	1	0	0	0	3	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides zhangwenhongii	0	0	0	2	2	0	0	0	4
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria macacae	4	0	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. IMCC36792	0	0	0	3	0	0	0	1	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus garvieae	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis	1	1	0	0	0	0	2	0	4
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Nostocales;Aphanizomenonaceae;Anabaenopsis;Anabaenopsis circularis	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas rubra	0	0	1	0	2	0	1	0	4
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;Eggerthella sp. YY7918	0	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus delbrueckii	0	1	0	0	0	1	2	0	4
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio parahaemolyticus	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Ornithobacterium;Ornithobacterium rhinotracheale	0	0	0	0	0	0	1	2	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas hydrangeae	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. E13-17	0	0	0	0	0	0	0	3	3
Eukaryota;Eukaryota_Incertae_sedis;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium knowlesi	0	0	0	2	0	0	1	0	3
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria elongata	2	0	0	0	1	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Empedobacter;Empedobacter falsenii	0	0	0	0	0	3	0	0	3
Eukaryota;Eukaryota_Incertae_sedis;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae;Leishmania;Leishmania major	0	0	0	1	0	1	0	1	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter pectinis	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. N2038	0	0	0	0	0	3	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella sp. oral taxon 928	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. N1846	0	0	0	0	1	0	0	2	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria welshimeri	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. 19GGS1-52	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Mammaliicoccus;Mammaliicoccus vitulinus	0	0	0	0	0	0	0	3	3
Eukaryota;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus gattii VGI	0	3	0	0	0	0	0	0	3
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Marasmius;Marasmius oreades	0	0	0	0	2	0	1	0	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. 140616W15	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga stomatis	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus sp. NRL 22/194	0	0	0	1	0	0	1	1	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;Winogradskyella forsetii	0	0	0	0	1	0	0	2	3
Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium fujikuroi	0	0	0	0	0	0	3	0	3
Bacteria;Bacteria_none;Candidatus Cloacimonetes;Candidatus Cloacimonetes_Incertae_sedis;Candidatus Cloacimonetes_Incertae_sedis_Incertae_sedis;Candidatus Cloacimonetes_Incertae_sedis_Incertae_sedis_Incertae_sedis;Candidatus Cloacimonas;Candidatus Cloacimonas acidaminovorans	0	1	0	1	0	0	0	1	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 475	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Nostocales;Rivulariaceae;Rivularia;Rivularia sp. PCC 7116	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus haemolyticus	0	0	0	1	1	1	0	0	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tyrobutyricum	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum umeaense	0	0	0	0	0	1	0	2	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter sp. ALD11	0	0	0	3	0	0	0	0	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminiclostridium;Ruminiclostridium herbifermentans	0	0	1	0	0	0	0	2	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor;Filifactor alocis	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas luteoviolacea	0	1	0	1	0	0	0	1	3
Bacteria;Bacteria_none;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter peloridis	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	0	0	0	0	0	1	0	2	3
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter blaseri	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Deefgea;Deefgea piscis	1	0	0	2	0	0	0	0	3
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methyloradius;Methyloradius palustris	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis_Incertae_sedis;Ezakiella;Ezakiella massiliensis	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides intestinalis	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Melaminivora;Melaminivora suipulveris	0	1	0	0	0	0	0	2	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Nevskiales;Steroidobacteraceae;Steroidobacter;Steroidobacter denitrificans	0	0	0	1	1	0	0	1	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium beijerinckii	0	0	0	0	0	1	0	2	3
Bacteria;Bacteria_none;Chloroflexota;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;Chloroflexus aurantiacus	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium;Pectobacterium parvum	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia stuartii	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia alcalifaciens	0	0	0	0	0	2	0	1	3
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Synechococcales;Prochlorococcaceae;Prochlorococcus;Prochlorococcus marinus	0	0	0	0	0	1	1	1	3
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola	0	0	1	0	1	1	0	0	3
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Synechococcales;Synechococcaceae;Synechococcus;Synechococcus sp. PCC 7502	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus porcinus	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium gonidiaformans	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia trevisanii	0	0	0	3	0	0	0	0	3
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;Streptobacillus moniliformis	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. HSISM1	2	0	0	0	0	0	0	1	3
Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis;Mycoplasmopsis maculosa	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum extorquens	0	0	0	0	2	0	1	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus toyakuensis	1	0	1	0	1	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum sp. SZ-18	0	0	0	0	0	0	0	3	3
Archaea;Archaea_none;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;Caldisphaera lagunensis	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula	0	0	0	2	0	0	0	1	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium;Arcanobacterium haemolyticum	0	0	0	1	0	0	0	2	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Vaginimicrobium;Vaginimicrobium propionicum	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae	0	0	0	0	0	0	3	0	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;Rothia dentocariosa	2	0	0	0	1	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus dafuensis	0	1	0	0	0	0	0	2	3
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;Eggerthella lenta	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus sp. A7	0	0	3	0	0	0	0	0	3
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Arabiibacter;Arabiibacter massiliensis	0	0	0	3	0	0	0	0	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces sp. Go-475	0	0	0	3	0	0	0	0	3
Archaea;Archaea_none;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri	0	0	0	0	0	1	0	2	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces lydicus	0	2	0	0	0	1	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium;Chryseobacterium carnipullorum	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus pleuropneumoniae	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella;Kribbella sp. CA-293567	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Schleiferiaceae;Owenweeksia;Owenweeksia hongkongensis	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas sp. HG01	0	0	0	0	0	0	2	0	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella;Winogradskyella sp. MH6	0	0	0	0	0	1	0	1	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter;Dermabacter jinjuensis	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium manihotivorum	0	0	0	0	0	1	0	1	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium sp. JN-1	0	0	0	0	0	0	1	1	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;Lautropia mirabilis	0	0	0	0	2	0	0	0	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter;Dermabacter vaginalis	0	0	1	0	0	0	0	1	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum pacificus	0	0	0	0	0	1	1	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium chauvoei	0	0	0	0	0	0	2	0	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis	0	0	0	2	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Fenollaria;Fenollaria massiliensis	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus sp. P-2	0	0	0	0	2	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter;Psychrobacter arenosus	0	0	0	0	0	1	1	0	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Siansivirga;Siansivirga zeaxanthinifaciens	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter wuhouensis	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Salegentibacter;Salegentibacter salegens	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Polaribacter;Polaribacter vadi	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Devriesea;Devriesea agamarum	1	0	0	0	0	1	0	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;[Ruminococcus] lactaris	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces sp. 3211	0	0	0	0	0	0	2	0	2
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Simiaoa;Simiaoa sunii	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia glumae	0	0	0	0	0	0	2	0	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia;Elizabethkingia meningoseptica	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cenocepacia	0	0	0	0	0	0	2	0	2
Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;Solitalea canadensis	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus acidilactici	0	1	0	0	0	0	0	1	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus claussenii	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura madurae	1	0	0	0	1	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio splendidus	0	0	0	2	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus equi	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio aquimaris	0	0	0	0	1	1	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Candidatus Wolbachia massiliensis	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus infantis	1	0	0	1	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus iniae	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis sp. DSM 110486	0	2	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	0	0	0	0	1	1	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasuis	0	0	1	0	0	0	0	1	2
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Aquisediminimonas;Aquisediminimonas profunda	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;Cloacibacterium caeni	0	2	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter sp. PACM 27299	0	0	0	0	0	0	1	1	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora;Actinokineospora sp. UTMC 2448	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. ABC1	0	0	0	0	0	2	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Saprospiraceae;Saprospira;Saprospira grandis	0	0	0	0	0	1	0	1	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. Marseille-Q3533	0	0	0	0	0	0	0	2	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. Marseille-Q6470	0	0	0	0	1	0	0	1	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. NPS 308	0	0	0	0	1	1	0	0	2
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;Arachnia rubra	0	0	2	0	0	0	0	0	2
