C	b9a91390-7b33-42d9-9a24-e15d1c701666	9606	152	0:9 9606:5 0:21 9606:5 0:4 9606:2 0:67 9606:5
C	13852465-f36b-4a91-8b04-b15de7daa10c	9606	238	0:4 9606:5 0:55 9606:1 0:23 9606:1 0:19 9606:5 0:7 9606:9 0:9 9606:1 0:65
U	e05e21ed-311e-412a-9799-da73f9ed1eb1	0	37	0:3
C	5c6cd33d-236b-4854-a9e2-2729e4385432	9606	286	0:29 9606:6 0:20 9606:3 0:194
C	bc7285bd-d970-428d-aaa9-37c39ae50fc7	9606	338	0:1 9606:5 0:2 9606:5 0:38 9606:5 0:73 9606:5 0:49 9606:3 0:5 9606:5 0:53 9606:5 0:13 9606:1 0:14 9606:1 0:6 9606:1 0:14
U	545b9f76-f0f7-4f35-88ea-e19db5782d5f	0	78	0:44
C	d7450b2f-4f8f-4e79-a14b-3888cdbdc3b7	9606	306	0:2 9606:4 0:7 9606:1 0:34 9606:4 0:4 9606:5 0:49 9606:1 0:48 9606:5 0:13 9606:8 0:7 9606:2 0:38 9606:3 0:21 9606:1 0:8 9606:5 0:2
U	adb94655-649f-4ba5-91d5-9122b3ed058f	0	131	0:97
C	5ebb386a-345e-4362-9e7e-e0a72c183543	9606	143	0:42 9606:5 0:3 9606:3 0:56
U	f27ad9b1-7641-4d83-8a1c-16bbf74d9f2b	0	106	0:72
C	d484e89e-23db-49a6-b1dd-d889bb2ee319	9606	148	0:52 9606:2 0:17 9606:2 0:41
C	cb0416e5-7035-45d2-ac04-b49b7615274d	9606	251	9606:3 0:10 9606:5 0:19 9606:5 0:75 9606:5 0:95
U	275be191-8863-4f6d-8dd4-d65916a8b141	0	32	0:0
U	9462bf1e-34b0-4bb9-a199-880715fba6b5	0	49	0:15
C	8b821843-a8e0-4940-9fd7-37fffc7ee2bf	9606	1017	0:1 9606:3 0:267 9606:5 0:15 9606:5 0:49 9606:5 0:7 9606:5 0:2 9606:5 0:14 9606:5 0:16 9606:2 0:19 9606:1 0:18 9606:1 0:23 9606:5 0:112 9606:5 0:139 9606:1 0:21 9606:2 0:8 9606:5 0:93 9606:5 0:3 9606:2 0:10 9606:4 0:2 9606:3 0:13 9606:1 0:17 9606:5 0:17 9606:3 0:39
C	a940d498-db42-448a-b5c2-7506b43631e1	9606	133	0:8 9606:11 0:51 9606:1 0:10 9606:1 0:17
U	cb701a15-bfb1-40de-b9e9-f536076d47ff	0	111	0:3 9606:5 0:69
U	3cf8090d-65e0-49bd-a3bc-f98edf33288e	0	76	0:42
C	058ee900-6f47-4e2c-b704-1dc3003fd954	9606	169	0:21 9606:5 0:39 9606:5 0:17 9606:1 0:47
U	bb26b3aa-2efd-4b5e-8549-4328f30d9c19	0	208	0:174
C	5c13dd55-f863-405e-a99b-46cf2fa52e7e	9606	100	0:29 9606:1 0:22 9606:1 0:13
U	c6f76084-4ad9-43c6-8c31-13510ce3f3f6	0	47	0:13
C	72530dd7-408d-4762-be65-ef2d4dd57749	9606	678	0:41 9606:3 0:8 9606:2 0:91 9606:5 0:13 9606:1 0:138 9606:2 0:151 9606:5 0:86 9606:3 0:3 9606:5 0:4 9606:5 0:78
C	db56e3a9-3cb5-41ea-beee-fb56c65b979c	9606	152	0:23 9606:3 0:24 9606:1 0:8 9606:1 0:6 9606:3 0:49
C	bc80c306-c6d5-46a8-8af6-94bc68f27465	9606	191	0:17 9606:1 0:27 9606:3 0:36 9606:5 0:45 9606:1 0:3 9606:5 0:14
C	e182a1cf-55cb-401f-bfc0-b9130b8ac868	9606	251	0:17 9606:1 0:41 9606:2 0:71 9606:1 0:47 9606:1 0:6 9606:9 0:8 9606:8 0:5
C	cd5e63b4-0996-4199-aeb3-8a5bbbee4ba4	9606	276	0:103 9606:5 0:23 9606:8 0:99 9606:2 0:2
U	adc1d825-06e7-46c0-b4cf-4b7706206827	0	38	0:4
U	f2fcfa24-0086-44c9-b584-6491be50c762	0	28	0:0
C	afab27b2-7169-4cc5-b5b8-0a9081dd9cb5	9606	173	0:5 9606:7 0:17 9606:8 0:102
C	f25554bd-90c5-4692-a3b4-fe77fcc6266f	9606	382	0:67 9606:1 0:23 9606:3 0:32 9606:1 0:58 9606:1 0:69 9606:4 0:89
C	dcde1494-e9d8-4ebf-8fe9-4889a7c52a09	9606	535	0:6 9606:5 0:28 9606:4 0:8 9606:3 0:55 9606:5 0:10 9606:1 0:11 9606:2 0:7 9606:2 0:35 9606:4 0:10 9606:1 0:10 9606:7 0:93 9606:5 0:28 9606:4 0:17 9606:1 0:65 9606:1 0:19 9606:5 0:49
C	6cd8c4d0-af24-4f99-bb5b-9e1f82ec4296	9606	257	0:28 9606:5 0:25 9606:1 0:38 9606:1 0:1 9606:5 0:71 9606:4 0:13 9606:5 0:26
C	9e8fec93-14f1-4cdf-b4d0-08e86ef64801	9606	312	0:49 9606:3 0:15 9606:5 0:77 9606:3 0:39 9606:2 0:85
U	445849ee-7962-4e93-8b96-7f5b70652573	0	89	0:15 9606:2 0:38
C	2dc726f1-bb66-4863-a6f4-659f178fb021	9606	411	0:136 9606:5 0:35 9606:1 0:23 9606:5 0:126 9606:2 0:9 9606:1 0:34
U	ee325a82-8b2f-4781-af4b-821959675ef2	0	224	0:190
