tax	barcode1	barcode2	barcode3	barcode4	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Sporobacter;Sporobacter termitidis	0	0	0	1	1
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Tsuneonella;Tsuneonella deserti	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella tobetsuensis	0	0	0	1	1
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium watanabei	0	0	0	1	1
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;Pseudoleptotrichia goodfellowii	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caldanaerobacter;Caldanaerobacter subterraneus	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae	0	0	0	1	1
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia wadei	0	0	0	1	1
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;Streptobacillus notomytis	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibacillus;Faecalibacillus faecis	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Allisonella;Allisonella histaminiformans	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera vaginalis	1	0	0	0	1
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Annwoodia;Annwoodia aquaesulis	1	0	0	0	1
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Oceanivirga;Oceanivirga salmonicida	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister pneumosintes	0	0	0	1	1
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Methyloversatilis;Methyloversatilis discipulorum	1	0	0	0	1
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria dumasiana	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas timonae	0	0	0	1	1
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Bryobacter;Bryobacter aggregatus	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ructibacterium;Ructibacterium gallinarum	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Parapedobacter;Parapedobacter pyrenivorans	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;Tannerella forsythia	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Alkaliflexus;Alkaliflexus imshenetskii	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Saccharicrinis;Saccharicrinis fermentans	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter profundus	0	1	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Arenibacter;Arenibacter aquaticus	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ascidiimonas;Ascidiimonas aurantiaca	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Croceibacter;Croceibacter atlanticus	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Imtechella;Imtechella halotolerans	0	0	1	0	1
Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;Haliscomenobacter hydrossis	1	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Chroococcales;Aphanothecaceae;Gloeothece;Gloeothece membranacea	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;Brochothrix campestris	1	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Chroococcales;Chroococcaceae;Gloeocapsopsis;Gloeocapsopsis dulcis	1	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Nostocales;Nostocaceae;Compactonostoc;Compactonostoc shennongjiaense	1	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Oscillatoriales;Coleofasciculaceae;Funiculus;Funiculus tenuis	0	0	1	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Oscillatoriales;Oscillatoriaceae;Aerosakkonema;Aerosakkonema funiforme	1	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Oscillatoriales;Oscillatoriaceae;Okeania;Okeania plumata	1	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Oscillatoriales;Sirenicapillariaceae;Limnospira;Limnospira fusiformis	0	0	1	0	1
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Oscillatoriales;Sirenicapillariaceae;Limnospira;Limnospira maxima	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Alkalihalobacillus;Alkalihalobacillus lehensis	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;Halobacillus locisalis	1	0	0	0	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;Rikenella microfusus	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes provencensis	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes montrealensis	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes inops	0	0	0	1	1
Bacteria;Bacteria_none;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Sulfidibacter;Sulfidibacter corallicola	0	0	1	0	1
Bacteria;Bacteria_none;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;Thermoanaerobaculum aquaticum	0	0	1	0	1
Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas;Aciditerrimonas ferrireducens	0	0	1	0	1
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus mulieris	0	0	0	1	1
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus yunnanensis	0	0	0	1	1
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Adlercreutzia;Adlercreutzia equolifaciens	0	0	0	1	1
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Arabiibacter;Arabiibacter massiliensis	0	0	0	1	1
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Gordonibacter;Gordonibacter urolithinfaciens	0	0	0	1	1
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;Slackia heliotrinireducens	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinaceum	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas virosa	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Gabonia;Gabonia massiliensis	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;Macellibacteroides fermentans	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas catoniae	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas pogonae	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oris	0	0	0	1	1
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella morbillorum	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella;Cohnella massiliensis	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pseudobacteroides;Pseudobacteroides cellulosolvens	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Aminipila;Aminipila butyrica	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pneumoniae	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Christensenella;Christensenella massiliensis	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Gehongia;Gehongia tenuis	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;Butyricicoccus intestinisimiae	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium carboxidivorans	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Oceanirhabdus;Oceanirhabdus sediminicola	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Desulfallaceae;Desulfotruncus;Desulfotruncus arcticus	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Gemmiger;Gemmiger formicilis	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Jingyaoa;Jingyaoa shaoxingensis	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Murimonas;Murimonas intestini	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;Stomatobaculum longum	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio saccincola	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaerobacterium;Anaerobacterium chartisolvens	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium hattorii	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Papillibacter;Papillibacter cinnamivorans	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Petroclostridium;Petroclostridium xylanilyticum	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus infantis	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus ilei	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Loigolactobacillus;Loigolactobacillus rennini	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus caviae	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus taiwanensis	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium;Alkalibacterium subtropicum	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella adiacens	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella balaenopterae	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Fructilactobacillus;Fructilactobacillus ixorae	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Fructilactobacillus;Fructilactobacillus vespulae	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Fructobacillus;Fructobacillus tropaeoli	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Furfurilactobacillus;Furfurilactobacillus rossiae	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus amylolyticus	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus equicursoris	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus johnsonii	0	0	0	1	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kalixensis	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus paragasseri	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus rodentium	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus taiwanensis	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lapidilactobacillus;Lapidilactobacillus concavus	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus kefiri	0	0	1	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc gelidum	1	0	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc kimchii	0	1	0	0	1
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus reuteri	0	1	0	0	1
