tax	barcode1	barcode2	barcode3	barcode4	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio straminisolvens	0	0	0	27	27
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus thermophilus	25	0	0	0	25
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus urinaemulieris	0	16	7	0	23
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis	18	1	0	1	20
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes	13	1	4	1	19
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella osloensis	1	0	15	1	17
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Howardella;Howardella ureilytica	2	0	0	15	17
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella dispar	4	0	3	8	15
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus portuensis	0	8	7	0	15
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pseudopneumoniae	3	0	8	1	12
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella montpellierensis	0	0	11	0	11
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus ultunensis	0	10	0	0	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio clariflavus	0	0	0	10	10
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum;Paludibaculum fermentans	9	0	0	0	9
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	9	0	0	0	9
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella sanguinis	7	0	0	2	9
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus acidophilus	0	9	0	0	9
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus amylovorus	0	9	0	0	9
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella parvula	6	0	0	2	8
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	0	0	0	8	8
Bacteria;Bacteria_none;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia extructa	0	0	0	8	8
Bacteria;Bacteria_none;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Armatimonas rosea	0	0	8	0	8
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella haemolysans	8	0	0	0	8
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella nakazawae	2	0	0	6	8
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius	2	0	5	0	7
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium massiliense	0	0	0	7	7
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister massiliensis	0	0	0	7	7
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus urinae	0	0	0	7	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;Romboutsia timonensis	0	0	7	0	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio thermocellus	0	0	0	6	6
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus toyakuensis	3	0	3	0	6
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;Anaerococcus hydrogenalis	0	0	6	0	6
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella atypica	0	0	0	6	6
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helveticus	0	5	0	0	5
Bacteria;Bacteria_none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Chroococcidiopsidales;Sinocapsaceae;Sinocapsa;Sinocapsa zengkensis	4	0	1	0	5
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus harei	0	0	0	5	5
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;Ureaplasma parvum	0	3	0	2	5
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum orale	0	0	5	0	5
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella communis	5	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	5	5
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio alkalicellulosi	0	0	0	5	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Falsiporphyromonas;Falsiporphyromonas endometrii	0	0	0	5	5
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	4	0	1	0	5
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Luoshenia;Luoshenia tenuis	0	0	4	1	5
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	1	0	4	5
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus rubneri	5	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola faecicola	0	0	0	4	4
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus;Methylophilus methylotrophus	0	0	4	0	4
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus duerdenii	4	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Mediterranea;Mediterranea massiliensis	0	0	0	4	4
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;Anaerococcus nagyae	4	0	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter concisus	0	0	0	4	4
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;Anaerococcus senegalensis	0	0	4	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella xylaniphila	0	0	0	4	4
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas hortensis	0	0	4	0	4
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Thermoclostridium;Thermoclostridium caenicola	0	0	0	4	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Tidjanibacter;Tidjanibacter massiliensis	0	0	0	4	4
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus symci	3	0	0	1	4
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus lacrimalis	4	0	0	0	4
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Thermoclostridium;Thermoclostridium stercorarium	0	0	0	4	4
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis	0	0	4	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecicola	0	0	0	4	4
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kefiranofaciens	0	4	0	0	4
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kitasatonis	0	4	0	0	4
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	0	0	0	3	3
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Anaerococcus;Anaerococcus lactolyticus	3	0	0	0	3
