tax	DEPbarcode1	DEPbarcode2	DEPbarcode3	DEPbarcode4	ENRbarcode1	ENRbarcode2	ENRbarcode3	ENRbarcode4	NORMbarcode1	NORMbarcode2	NORMbarcode3	NORMbarcode4	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica	0	0	0	0	3	0	0	1	0	0	1	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella veroralis	0	0	0	1	0	0	0	0	0	0	0	4	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 475	0	0	0	0	0	0	0	0	5	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	0	0	0	0	0	0	4	0	0	0	1	5
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus iniae	1	0	0	0	0	0	0	0	0	0	0	4	5
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri	0	1	0	0	0	3	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella histicola	0	0	0	1	0	0	0	0	0	0	0	3	4
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Priestia;Priestia megaterium	3	0	0	0	0	0	0	1	0	0	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas somerae	0	0	0	0	0	0	0	2	0	0	0	2	4
Eukaryota;Eukaryota_Incertae_sedis;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Toxoplasma;Toxoplasma gondii	0	0	0	0	2	1	0	0	0	0	1	0	4
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium estertheticum	0	0	0	0	0	0	0	4	0	0	0	0	4
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;Schaalia turicensis	0	0	0	0	0	0	0	3	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	0	0	0	0	3	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis	0	0	0	0	0	0	0	1	2	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola	0	0	0	3	0	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister succinatiphilus	0	0	0	0	0	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus salivarius	0	1	0	0	0	1	0	1	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales;Peptoniphilaceae;Finegoldia;Finegoldia magna	0	0	0	1	0	0	0	2	0	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bryantii	0	0	0	2	0	0	0	1	0	0	0	0	3
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces sp. HF10	0	0	0	0	3	0	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tetani	0	1	0	1	0	1	0	0	0	0	0	0	3
Eukaryota;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans	0	0	0	0	0	2	0	1	0	0	0	0	3
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella elegans	0	0	0	0	1	0	0	0	0	0	0	1	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kefiranofaciens	0	1	0	0	0	1	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella scopos	0	0	0	0	0	0	0	2	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus mundtii	0	0	0	0	1	1	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella multiformis	0	0	0	0	0	0	0	1	0	0	0	1	2
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia aldovae	0	0	0	0	0	2	0	0	0	0	0	0	2
